Model,Pair,Vuln,Patch,GT,Vuln_Pred,Patch_Pred,Result
gemini-2.5-pro_rag,CWE-942,CWE-942_test.py,CWE-942_patch.py,CWE-942,CWE-942,None,PAIR_TP
gemini-2.5-pro_raw,CWE-117_CWE-532,"CWE-117,532_Test.py","CWE-117,532_patch.py",CWE-117/CWE-532,CWE-117,None,PAIR_TP
gemini-2.5-pro_raw,CWE-285,CWE-285_test.py,CWE-285_patch.py,CWE-285,CWE-862,None,PAIR_FP
gemini-2.5-pro_raw,CWE-287,CWE-287_test.py,CWE-287_patch.py,CWE-287,CWE-287,None,PAIR_TP
gemini-2.5-pro_raw,CWE-311,CWE-311_test.py,CWE-311_patch.py,CWE-311,CWE-312,None,PAIR_FP
gemini-2.5-pro_raw,CWE-338_CWE-343,CWE-338_CWE-343_test.py,CWE-338_CWE-343_patch.py,CWE-338/CWE-343,CWE-337,None,PAIR_FP
gemini-2.5-pro_raw,CWE-400,CWE-400_test.py,CWE-400_patch.py,CWE-400,CWE-434,None,PAIR_FP
gemini-2.5-pro_raw,CWE-611,CWE-611_test.py,CWE-611_patch.py,CWE-611,CWE-611,None,PAIR_TP
gemini-2.5-pro_raw,CWE-639,CWE-639_test.py,CWE-639_patch.py,CWE-639,CWE-639,None,PAIR_TP
gemini-2.5-pro_raw,CWE-770,CWE-770_test.py,CWE-770_patch.py,CWE-770,CWE-789,None,PAIR_FP
gemini-2.5-pro_raw,CWE-798,CWE-798_test.py,CWE-798_patch.py,CWE-798,CWE-798,None,PAIR_TP
gemini-2.5-pro_raw,CWE-915,CWE-915_test.py,CWE-915_patch.py,CWE-915,CWE-915,None,PAIR_TP
gemini-2.5-pro_raw,CWE-798_CWE-942,"CWE-942,798_test.py","CWE-942,798_patch.py",CWE-942/CWE-798,CWE-798,CWE-862,PAIR_FP
gemini-2.5-pro_raw,CWE-942,CWE-942_test.py,CWE-942_patch.py,CWE-942,CWE-346,None,PAIR_FP
gemini-2.5-pro_simple_rag,CWE-117_CWE-532,"CWE-117,532_Test.py","CWE-117,532_patch.py",CWE-117/CWE-532,CWE-117,None,PAIR_TP
gemini-2.5-pro_simple_rag,CWE-285,CWE-285_test.py,CWE-285_patch.py,CWE-285,CWE-285,None,PAIR_TP
gemini-2.5-pro_simple_rag,CWE-287,CWE-287_test.py,CWE-287_patch.py,CWE-287,CWE-287,CWE-287,PAIR_FP
gemini-2.5-pro_simple_rag,CWE-311,CWE-311_test.py,CWE-311_patch.py,CWE-311,CWE-311,None,PAIR_TP
gemini-2.5-pro_simple_rag,CWE-338_CWE-343,CWE-338_CWE-343_test.py,CWE-338_CWE-343_patch.py,CWE-338/CWE-343,CWE-338,None,PAIR_TP
gemini-2.5-pro_simple_rag,CWE-400,CWE-400_test.py,CWE-400_patch.py,CWE-400,CWE-770,CWE-770,PAIR_FP
gemini-2.5-pro_simple_rag,CWE-611,CWE-611_test.py,CWE-611_patch.py,CWE-611,CWE-611,CWE-400,PAIR_FP
gemini-2.5-pro_simple_rag,CWE-639,CWE-639_test.py,CWE-639_patch.py,CWE-639,CWE-285,None,PAIR_FP
gemini-2.5-pro_simple_rag,CWE-770,CWE-770_test.py,CWE-770_patch.py,CWE-770,CWE-400,None,PAIR_FP
gemini-2.5-pro_simple_rag,CWE-798,CWE-798_test.py,CWE-798_patch.py,CWE-798,CWE-798,None,PAIR_TP
gemini-2.5-pro_simple_rag,CWE-915,CWE-915_test.py,CWE-915_patch.py,CWE-915,CWE-285,None,PAIR_FP
gemini-2.5-pro_simple_rag,CWE-798_CWE-942,"CWE-942,798_test.py","CWE-942,798_patch.py",CWE-942/CWE-798,CWE-798,CWE-285,PAIR_FP
gemini-2.5-pro_simple_rag,CWE-942,CWE-942_test.py,CWE-942_patch.py,CWE-942,CWE-942,None,PAIR_TP
llama3.2_rag,CWE-117_CWE-532,"CWE-117,532_Test.py","CWE-117,532_patch.py",CWE-117/CWE-532,UNKNOWN,None,PAIR_FP
llama3.2_rag,CWE-285,CWE-285_test.py,CWE-285_patch.py,CWE-285,CWE-285,UNKNOWN,PAIR_FP
llama3.2_rag,CWE-287,CWE-287_test.py,CWE-287_patch.py,CWE-287,CWE-117,UNKNOWN,PAIR_FP
llama3.2_rag,CWE-311,CWE-311_test.py,CWE-311_patch.py,CWE-311,UNKNOWN,UNKNOWN,PAIR_FP
llama3.2_rag,CWE-338_CWE-343,CWE-338_CWE-343_test.py,CWE-338_CWE-343_patch.py,CWE-338/CWE-343,CWE-338,None,PAIR_TP
llama3.2_rag,CWE-400,CWE-400_test.py,CWE-400_patch.py,CWE-400,CWE-285,None,PAIR_FP
llama3.2_rag,CWE-611,CWE-611_test.py,CWE-611_patch.py,CWE-611,CWE-311,None,PAIR_FP
llama3.2_rag,CWE-639,CWE-639_test.py,CWE-639_patch.py,CWE-639,CWE-400,UNKNOWN,PAIR_FP
llama3.2_rag,CWE-770,CWE-770_test.py,CWE-770_patch.py,CWE-770,CWE-400,UNKNOWN,PAIR_FP
llama3.2_rag,CWE-798,CWE-798_test.py,CWE-798_patch.py,CWE-798,CWE-285,UNKNOWN,PAIR_FP
llama3.2_rag,CWE-915,CWE-915_test.py,CWE-915_patch.py,CWE-915,UNKNOWN,None,PAIR_FP
llama3.2_rag,CWE-798_CWE-942,"CWE-942,798_test.py","CWE-942,798_patch.py",CWE-942/CWE-798,CWE-798,UNKNOWN,PAIR_FP
llama3.2_rag,CWE-942,CWE-942_test.py,CWE-942_patch.py,CWE-942,CWE-798,UNKNOWN,PAIR_FP
